epoch,loss,mean_absolute_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,val_root_mean_squared_error
0,1.5783973932266235,1.3749244213104248,3.1083126068115234,1.7630407810211182,0.7161332964897156,0.3888435661792755,0.22137823700904846,0.47050848603248596
1,1.1036834716796875,0.9044340252876282,1.2924277782440186,1.1368498802185059,0.6440891623497009,0.30761173367500305,0.1482284665107727,0.3850044906139374
2,0.9530357718467712,0.7625168561935425,0.9352391362190247,0.9670776128768921,0.5684845447540283,0.2095397412776947,0.06550092250108719,0.25593146681785583
3,0.9277991056442261,0.7742573022842407,0.9562915563583374,0.9779016375541687,0.5387885570526123,0.21610821783542633,0.06705854833126068,0.258956640958786
4,0.804835319519043,0.6617569327354431,0.7054934501647949,0.8399365544319153,0.49672839045524597,0.1654491126537323,0.04198243468999863,0.20489615201950073
5,0.7894394993782043,0.6810498237609863,0.7392932176589966,0.859821617603302,0.5590217113494873,0.4323822855949402,0.2199433147907257,0.46898114681243896
6,0.7279015183448792,0.6352081298828125,0.637679398059845,0.7985482811927795,0.4396844208240509,0.13570035994052887,0.02968299575150013,0.17228753864765167
7,0.629997730255127,0.5361068844795227,0.4559691250324249,0.6752548813819885,0.4114571511745453,0.11205926537513733,0.01917347125709057,0.13846831023693085
8,0.6091958284378052,0.5360121130943298,0.458449125289917,0.677088737487793,0.4321378469467163,0.28969958424568176,0.10353192687034607,0.3217637836933136
9,0.5568879246711731,0.49489691853523254,0.38496822118759155,0.6204580664634705,0.40796393156051636,0.27416250109672546,0.09445249289274216,0.30733123421669006
10,0.5601633787155151,0.5264852046966553,0.43613284826278687,0.6604035496711731,0.3939161002635956,0.2920820415019989,0.10237623006105423,0.31996285915374756
11,0.4975872039794922,0.4634408950805664,0.33518165349960327,0.5789487361907959,0.34247758984565735,0.14990606904029846,0.03330674767494202,0.18250136077404022
12,0.46041497588157654,0.4289655089378357,0.2875896692276001,0.5362738966941833,0.33552733063697815,0.19074849784374237,0.05048182234168053,0.22468160092830658
13,0.4092058837413788,0.3649894595146179,0.21526546776294708,0.46396708488464355,0.3058280348777771,0.11903327703475952,0.021011335775256157,0.14495287835597992
14,0.3950624167919159,0.36458784341812134,0.21500438451766968,0.46368566155433655,0.29100337624549866,0.11015962809324265,0.01905636675655842,0.1380448043346405
15,0.35365724563598633,0.3081550896167755,0.1582747846841812,0.39783763885498047,0.2736043930053711,0.0836833268404007,0.011292772367596626,0.10626745969057083
