date,vader_score,predicted_price,actual_price
2021-01-04,0.7184,48.86079329735673,47.619998931884766
2021-01-05,0.5669,48.766635919058096,49.93000030517578
2021-01-06,0.0412,49.899638235989634,50.630001068115234
2021-01-07,0.2538,50.607159973315326,50.83000183105469
2021-01-08,0.3245,51.02283549467574,52.2400016784668
2021-01-09,0.865,52.00193442108206,52.243334452311196
2021-01-10,0.9103,52.51073638141724,52.2466672261556
2021-01-11,0.377,52.71788837750273,52.25
2021-01-12,0.533,52.72993739897788,53.209999084472656
2021-01-13,0.4776,53.23172451804328,52.90999984741211
2021-01-14,-0.4947,53.29854300982458,53.56999969482422
2021-01-15,0.1595,53.62512153231216,52.36000061035156
2021-01-16,0.9337,53.14695825030731,52.515000343322754
2021-01-17,-0.1418,52.959367902154895,52.670000076293945
2021-01-18,-0.1263,52.955055510472334,52.82499980926514
2021-01-19,0.4808,53.07997208351526,52.97999954223633
2021-01-20,0.2679,53.30481903307828,53.2400016784668
2021-01-21,0.2219,53.47824477270592,53.130001068115234
2021-01-22,-0.0556,53.50674428468824,52.27000045776367
2021-01-23,-0.1749,53.15588039482429,52.436667124430336
2021-01-24,0.0,53.02134870788405,52.60333379109701
2021-01-25,0.5312,53.050983956071946,52.77000045776367
2021-01-26,0.0791,53.186392006935534,52.61000061035156
2021-01-27,0.1661,53.13733134676079,52.84999847412109
2021-01-28,0.1819,53.26692317068921,52.34000015258789
2021-01-29,-0.1752,53.1453810572375,52.20000076293945
2021-01-30,0.5448,53.02458562156801,52.65000025431315
2021-01-31,0.5968,53.151616471699526,53.09999974568685
2021-02-01,-0.1253,53.44399453183951,53.54999923706055
2021-02-02,0.7141,53.84066513870096,54.7599983215332
2021-02-03,0.4325,54.54032579993702,55.68999862670898
2021-02-04,-0.2011,55.27914250606477,56.22999954223633
2021-02-05,0.3037,55.86235156237842,56.84999847412109
2021-02-06,-0.2764,56.49667922763149,57.223332722981766
2021-02-07,0.3164,57.03925722294332,57.596666971842446
2021-02-08,0.0723,57.51816980265244,57.970001220703125
2021-02-09,0.3935,57.95453353842436,58.36000061035156
