Date,vader_score,predicted_price,actual_price
9/5/2024,0.0314,70.90423675,69.15000153
9/6/2024,-0.9042,70.27286328,67.66999817
9/7/2024,0.2543,69.32339188,68.01666514
9/8/2024,0,68.73493989,68.36333211
9/9/2024,0,68.41834093,68.70999908
9/10/2024,0.1183,68.30119025,65.75
9/11/2024,-0.0729,67.37950896,67.30999756
9/12/2024,0.1456,67.18712772,68.97000122
9/13/2024,0.252,67.63875409,68.65000153
9/14/2024,0.3464,67.9339783,69.1299998
9/15/2024,0.3798,68.31514421,69.60999807
9/16/2024,-0.0333,68.74477745,70.08999634
9/17/2024,0.0651,69.19769385,71.19000244
9/18/2024,0.041,69.88790552,70.91000366
9/19/2024,0.3151,70.25519681,71.94999695
9/20/2024,0.2457,70.94614114,71.91999817
9/21/2024,0.4278,71.27392871,71.40333303
9/22/2024,0.6557,71.3220077,70.88666789
9/23/2024,-0.2366,71.16120787,70.37000275
9/24/2024,-0.0436,70.85455854,71.55999756
9/25/2024,0.4141,71.0966363,69.69000244
9/26/2024,0.1008,70.54400695,67.66999817
9/27/2024,0.2955,69.49497977,68.18000031
9/28/2024,0.2121,68.95989596,68.17666626
9/29/2024,0.0734,68.56249506,68.17333221
9/30/2024,-0.0772,68.28741475,68.16999817
10/1/2024,0.0561,68.11257646,69.83000183
